Para Girişi;Kart;Nakit;Gün toplamı;Gün eksi kal
1 Nis 2026;₺40.769;₺4.600,00;₺45.369,00;₺38.969,00
2 Nis 2026;₺34.262,00;₺4.700,00;₺38.962,00;₺14.112,00
3 Nis 2026;₺32.826,00;₺7.500,00;₺40.326,00;₺22.034,00
4 Nis 2026;₺25.855,00;₺5.300,00;₺31.155,00;₺25.755,00
5 Nis 2026;₺18.865,00;₺3.300,00;₺22.165,00;₺18.565,00
6 Nis 2026;₺42.508,00;₺4.800,00;₺47.308,00;-₺61.797,00
7 Nis 2026;₺38.115,00;₺5.200,00;₺43.315,00;₺37.865,00
8 Nis 2026;;;₺0,00;-₺29.979,00
9 Nis 2026;;;₺0,00;₺0,00
10 Nis 2026;;;₺0,00;₺0,00
11 Nis 2026;;;₺0,00;₺0,00
12 Nis 2026;;;₺0,00;₺0,00
13 Nis 2026;;;₺0,00;₺0,00
14 Nis 2026;;;₺0,00;₺0,00
15 Nis 2026;;;₺0,00;₺0,00
16 Nis 2026;;;₺0,00;₺0,00
17 Nis 2026;;;₺0,00;₺0,00
18 Nis 2026;;;₺0,00;₺0,00
19 Nis 2026;;;₺0,00;₺0,00
20 Nis 2026;;;₺0,00;₺0,00
21 Nis 2026;;;₺0,00;₺0,00
22 Nis 2026;;;₺0,00;₺0,00
23 Nis 2026;;;₺0,00;₺0,00
24 Nis 2026;;;₺0,00;₺0,00
25 Nis 2026;;;₺0,00;₺0,00
26 Nis 2026;;;₺0,00;₺0,00
27 Nis 2026;;;₺0,00;₺0,00
28 Nis 2026;;;₺0,00;₺0,00
29 Nis 2026;;;₺0,00;₺0,00
30 Nis 2026;;;₺0,00;₺0,00
toplam;₺233.200,00;₺35.400,00;₺268.600,00;₺65.524,00
